1;250180590;RYBNIK-STODOŁY;Ruda (1156)
2;254140010;DZIWNÓW;
3;250160530;ZIELENIEC;Bystrzyca Dusznicka (1218)
4;250160630;MIĘDZYGÓRZE;Wilczka (1212)
5;250160650;MIĘDZYLESIE;Nysa Kłodzka (12)
6;250170110;DOBROGOSZCZ;Pluskawa (133646)
7;250170250;OTMUCHÓW;Nysa Kłodzka (12)
8;250170290;DZIEWIĘTLICE;Świdna (12548)
9;250170330;GŁUCHOŁAZY;Biała Głuchołaska (1258)
10;250170340;JARNOŁTÓWEK;Złoty Potok (117644)
11;250170390;GŁUBCZYCE;Psina (1152)
12;250180190;KRUPSKI MŁYN;Mała Panew (118)
13;250180270;ŚWIERKLANIEC;Brynica (2126)
14;250190010;JANUSZEWICE;Czarna (Włoszczowska) (2542)
15;250190030;SILNICZKA;Pilica (254)
16;251200290;TEOFILÓW;Pilica (254)
17;354190160;ELBLĄG-MILEJEWO;Elbląg (54)
18;249180020;WARSZOWICE;Pszczynka (2116)
19;249180070;MAZAŃCOWICE;Wapienica (21128)
20;251200220;WŁOCHÓW;Kamienna (234)
21;251200250;SUCHEDNIÓW;Kamienna (234)
22;250190140;ŻARKI;Warta (18)
23;251210230;STARACHOWICE;Kamienna (234)
24;251210240;BRODY IŁŻECKIE;Kamienna (234)
25;252230080;NOWE MASIEWO;Narew (26)
26;251220040;RADZYŃ PODLASKI;Tyśmienica (248)
27;252160050;RYCZYWÓŁ;Wełna (186)
28;252170060;JANOWIEC WIELKOPOLSKI;Wełna (186)
29;252180260;TUREK;Kiełbaska (18334)
30;252190120;ŻYCHLIN;Bzura (272)
31;252200080;BORKOWO;Wkra (268)
32;252210050;PUŁTUSK;Narew (26)
33;252220050;BRAŃSK;Nurzec (2666)
34;252220120;TONKIELE;Bug (266)
35;252230010;NOWOSADY;Kołonna (2611316)
36;252230030;BONDARY;Narew (26)
37;252230040;NAREW;Narew (26)
38;252230090;CHRABOŁY;Orlanka (2614)
39;252230120;BIAŁOWIEŻA;Narewka (2612)
40;253140010;WOLIN;Cieśnina Dziwna (35)
41;253150070;ŁABĘDZIE;Rega (42)
42;253150130;LISOWO;Krąpiel (1988)
43;249200220;ROZTOKA;Dunajec (214)
44;249200240;PTASZKOWA;Łubinka (21434)
45;249200260;ŁĄCKO;Dunajec (214)
46;249200270;TURBACZ;Raba (2138)
47;249200280;ŁABOWA;Kamienica (21432)
48;249200290;OCHOTNICA GÓRNA;Dunajec (214)
