polish;WMO;
353210285;12285;
349220690;12690;
354170120;12120;
349200660;12660;
354170125;12125;
350150510;12510;
352220385;12385;
349210670;12670;
353140200;12200;
353170235;12235;
352190360;12360;
354150100;12100;
349190625;12625;
354160105;12105;
354210185;12185;
354190160;12160;
351160415;12415;
354160115;12115;
350180540;12540;
353180250;12250;
351180455;12455;
349220695;12695;
351150400;12400;
351180435;12435;
350190550;12550;
350200575;12575;
350190560;12560;
351210488;12488;
350210585;12585;
354220195;12195;
351230497;12497;
353160230;12230;
349190600;12600;
353200270;12270;
353160215;12215;
353230295;12295;
350190566;12566;
350160520;12520;
351190465;12465;
351160425;12425;
352140310;12310;
350150500;12500;
352150300;12300;
351160418;12418;
352200375;12375;
353140205;12205;
350170530;12530;
349190650;12650;
350230595;12595;
353200272;12272;
350220580;12580;
350200570;12570;
354190160;12160;
351220495;12495;
351160424;12424;
351160425;12425;
351190469;12469;
354180155;12155;
354180135;12135;
353150210;12210;
353210280;12280;
352230399;12399;
